latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-11.196,-43.195,307.3,3.9,1.8,2019-10-12,0050,T,71,6.0NRT,292,48,N
-9.77,-36.057,308.4,1.1,1.1,2019-10-12,0050,T,74,6.0NRT,290.5,10.3,N
-9.772,-36.067,303.2,1.1,1.1,2019-10-12,0050,T,54,6.0NRT,289.5,6,N
-9.722,-35.991,308.2,1.1,1.1,2019-10-12,0050,T,69,6.0NRT,288.7,8.6,N
-9.712,-35.982,324.5,1.1,1.1,2019-10-12,0050,T,100,6.0NRT,291,24.4,N
-9.713,-35.992,389.9,1.1,1.1,2019-10-12,0050,T,100,6.0NRT,295.8,234,N
-9.714,-36.002,314.6,1.1,1.1,2019-10-12,0050,T,69,6.0NRT,291.1,13.7,N
-9.483,-40.28,306.4,2.2,1.4,2019-10-12,0050,T,68,6.0NRT,292.2,18.2,N
-9.888,-43.775,303.9,4.2,1.9,2019-10-12,0050,T,54,6.0NRT,292.6,30.7,N
-9.299,-40.583,304.8,2.3,1.5,2019-10-12,0050,T,62,6.0NRT,292,16.6,N
-9.302,-40.588,303.2,2.3,1.5,2019-10-12,0050,T,54,6.0NRT,291.9,12.4,N
-7.75,-43.52,305.2,3.7,1.8,2019-10-12,0050,T,62,6.0NRT,293.2,27.8,N
-7.759,-43.526,304.1,3.7,1.8,2019-10-12,0050,T,57,6.0NRT,293.1,23.5,N
-6.919,-38.25,306.3,1.4,1.2,2019-10-12,0050,T,62,6.0NRT,295.1,6.8,N
-6.907,-38.237,311.2,1.4,1.2,2019-10-12,0050,T,80,6.0NRT,294.7,11.8,N
-6.908,-38.25,330.6,1.4,1.2,2019-10-12,0050,T,100,6.0NRT,295.5,44,N
-6.82,-38.551,306.3,1.5,1.2,2019-10-12,0050,T,67,6.0NRT,295.1,7.1,N
-7.083,-41.79,305.5,2.6,1.6,2019-10-12,0050,T,65,6.0NRT,292.8,15.1,N
-7.078,-41.796,305.8,2.6,1.6,2019-10-12,0050,T,66,6.0NRT,292.8,15.7,N
-6.555,-38.783,307.6,1.5,1.2,2019-10-12,0050,T,46,6.0NRT,294.6,8.3,N
-6.498,-39.472,308,1.7,1.3,2019-10-12,0050,T,36,6.0NRT,294.7,13.3,N
-6.361,-43.997,301.3,3.8,1.8,2019-10-12,0050,T,18,6.0NRT,290.2,25.8,N
-6.354,-44.004,301.4,3.8,1.8,2019-10-12,0050,T,25,6.0NRT,290.6,27.1,N
-5.082,-41.317,304.3,2.3,1.5,2019-10-12,0050,T,36,6.0NRT,292.7,12.4,N
-20.256,-40.25,300.8,3.1,1.7,2019-10-12,0045,T,14,6.0NRT,289.8,21.9,N
-18.686,-41.484,304.4,3.7,1.8,2019-10-12,0045,T,60,6.0NRT,291.5,39.3,N
-15.009,-42.217,302.3,3.7,1.8,2019-10-12,0045,T,48,6.0NRT,291.2,32,N
-3.342,-54.105,302.6,2,1.4,2019-10-12,0230,T,27,6.0NRT,291.6,8.9,N
-3.33,-54.107,311.9,2,1.4,2019-10-12,0230,T,84,6.0NRT,291.8,26.1,N
-3.332,-54.125,309.5,2,1.4,2019-10-12,0230,T,77,6.0NRT,291.9,21.1,N
-2.615,-54.774,306.8,1.8,1.3,2019-10-12,0230,T,69,6.0NRT,291.9,14.9,N
-26.69,-60.345,319.1,1.7,1.3,2019-10-12,0225,T,98,6.0NRT,298.5,31.9,N
-25.422,-53.034,305.3,1.1,1,2019-10-12,0225,T,64,6.0NRT,295.1,6,N
-25.424,-53.045,318.1,1.1,1,2019-10-12,0225,T,96,6.0NRT,295,16.8,N
-26.229,-61.463,329.6,2.1,1.4,2019-10-12,0225,T,100,6.0NRT,300.8,68.9,N
-26.231,-61.484,315.8,2.1,1.4,2019-10-12,0225,T,91,6.0NRT,300.4,27.6,N
-26.179,-61.086,313.8,1.9,1.4,2019-10-12,0225,T,85,6.0NRT,299.3,24.2,N
-26.148,-61.411,318.9,2,1.4,2019-10-12,0225,T,97,6.0NRT,300.1,34.6,N
-26.15,-61.431,343.4,2,1.4,2019-10-12,0225,T,100,6.0NRT,302.5,125.6,N
-26.151,-61.452,356.6,2,1.4,2019-10-12,0225,T,100,6.0NRT,304.6,206.1,N
-26.147,-61.417,327.5,2,1.4,2019-10-12,0225,T,100,6.0NRT,300.7,59.8,N
-26.149,-61.437,355.2,2,1.4,2019-10-12,0225,T,100,6.0NRT,304.1,195.2,N
-26.151,-61.457,349.7,2,1.4,2019-10-12,0225,T,100,6.0NRT,303.7,161.1,N
-26.132,-61.398,320.6,2,1.4,2019-10-12,0225,T,100,6.0NRT,299.8,39.2,N
-26.134,-61.418,335.9,2,1.4,2019-10-12,0225,T,100,6.0NRT,300.8,91.2,N
-26.136,-61.438,399,2,1.4,2019-10-12,0225,T,100,6.0NRT,308.2,686.4,N
-26.138,-61.459,411.2,2,1.4,2019-10-12,0225,T,100,6.0NRT,309,915.9,N
-26.157,-61.646,351.3,2.1,1.4,2019-10-12,0225,T,100,6.0NRT,303,182.3,N
-26.159,-61.668,318.3,2.1,1.4,2019-10-12,0225,T,96,6.0NRT,300.4,36.1,N
-25.86,-58.977,318.5,1.4,1.2,2019-10-12,0225,T,97,6.0NRT,299,22.2,N
-26.122,-61.42,311.5,2,1.4,2019-10-12,0225,T,79,6.0NRT,299.7,17.9,N
-26.124,-61.44,328.2,2,1.4,2019-10-12,0225,T,100,6.0NRT,300.4,62,N
-26.126,-61.46,317.8,2,1.4,2019-10-12,0225,T,95,6.0NRT,300.1,31.4,N
-26.144,-61.648,315.7,2.1,1.4,2019-10-12,0225,T,91,6.0NRT,299.6,29.6,N
-26.133,-61.671,323.8,2.1,1.4,2019-10-12,0225,T,100,6.0NRT,300.1,51.9,N
-26.135,-61.692,314.6,2.1,1.4,2019-10-12,0225,T,88,6.0NRT,299.5,26,N
-25.564,-58.195,311.8,1.2,1.1,2019-10-12,0225,T,81,6.0NRT,297.7,11.8,N
-25.059,-55.045,310.3,1,1,2019-10-12,0225,T,79,6.0NRT,296,7.7,N
